split_new/AK Ghosh(aero)/101104062/lecture - 13.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 13.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 14.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 14.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 14.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 14.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 15.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 15.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 15.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 15.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 16.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 16.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 16.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 16.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 17.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 18.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 18.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 18.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 18.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 19.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 19.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 19.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 19.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 20.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 20.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 20.txt | tail_line_position=2 | Deptartment of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 20.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 21.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 21.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 21.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 21.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=7 | 
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 22.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 23.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 23.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 23.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 23.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=2 | Department of Aerospace Engineering
